구분,음식명,재료량,곡류,채소,과일,육류,우유,유지,칼로리,탄수화물,지질,단백질,칼슘
밥류,누룽지,50,0.5,0,0,0,0,0,176,39.3,0.1,2.9,3
밥류,쌀밥,90,1,0,0,0,0,0,316.8,70.7,0.1,5.1,5.4
밥류,찰밥,90,1,0,0,0,0,0,336.6,73.7,0.4,6.7,3.6
밥류,현미밥,90,1,0,0,0,0,0,315,69.4,1.9,6.8,5.4
밥류,보리밥,100,1.1,0,0,0,0,0,351.3,78.4,0.2,6.1,7.3
밥류,수수밥,100,1.1,0,0,0,0,0,348.6,78.6,0.3,6.5,7
밥류,잡곡밥,100,1.1,0,0,0,0,0,352.8,76.6,0.6,7.8,15.5
밥류,차조밥,100,1.1,0,0,0,0,0,357.5,78.1,0.7,6.7,7.9
밥류,콩밥,100,1,0.4,0.4,0,0,0,354.6,73.7,1.9,8.6,27.8
밥류,팥밥,100,1.1,0,0,0,0,0,350.5,77.5,0.1,7.1,13.6
밥류,비빔밥,307,0.7,1.5,2.6,0,0,0.9,468.6,67.5,12.7,21.1,96.5
밥류,오므라이스,255.5,0.9,1.5,1.4,0,0,1.7,506.4,77.5,12.7,18.5,50.7
밥류,국밥,198,1,0.7,0.8,0,0,0,410.6,75.5,3.9,15.5,68.7
밥류,돈육카레라이스,230.7,0.9,0.8,1,0,0,0.9,540.4,90.8,14.3,15.6,163.7
밥류,짜장밥,267,1.1,0.6,1.7,0,0,1.8,495.6,86.8,10.5,11.9,42.9
밥류,참치회덮밥,265.5,0.8,1,1.9,0,0,1,461.6,78.6,4.8,23.8,67.9
밥류,김밥,190.5,0.8,0.8,1.5,0,0,2.1,444.8,71.2,12.8,10.7,42.4
밥류,생선초밥,262,0.8,2.6,0.2,0,0,0.5,521.4,70,9.3,34.2,127
밥류,유부초밥,147,0.8,0.8,0.6,0,0,2.3,460.2,77.1,12.3,9.8,95.4
빵류,곰보빵(소보로),80,0.7,0,0,0,0,1.8,300.8,45.2,10.6,7,28.8
빵류,"샌드위치,햄,치즈",150,0.7,0.7,0.2,0,0,1.5,361.5,34.2,15.9,21.3,133.5
빵류,식빵,100,0.9,0,0,0,0,0,283,51.1,5.2,8.3,22
빵류,쵸코파이(롯데),30,0.2,0,0,0,0,1.9,133.8,19.5,5.6,1.3,14.1
빵류,카스테라,100,0.8,0,0,0,0,1.9,323,55.1,8.5,6.7,44
빵류,"케이크,스폰지케이크",85,0.8,0,0,0,0,0.9,294.1,40.1,12.9,5.6,28.9
빵류,팥빵,80,0.5,0,0,0,0,1.4,234.4,42,4.9,6.1,24.8
빵류,피자,150,1,0.3,0.5,0,0.3,0,403.5,45.2,17.9,18.2,141
빵류,핫도그(패스트푸드),98,0.2,2.4,0,0,0,0,242.1,18,14.5,10.4,23.5
빵류,햄버거(맥도날드),100,0.5,0.5,0.2,0,0,1.1,260,34,9,13,17
스낵류,"감자스낵,포테이토칩",30,0.2,0,0,0,0,2.3,159.6,15.8,11.1,1.7,5.1
스낵류,"스낵,밀가루",28,0.2,0,0,0,0,1.9,135,19.3,5.5,2,5.9
면류,국수장국,184.3,1,0.7,0.9,0,0,0,415,74.8,3,18.7,76.2
면류,라면,169,1,0.9,0,0,0,2.6,515,73.9,20.6,16,41.7
면류,물냉면,239,0.9,1,0.6,0.2,0,0.3,428.6,76.3,6.1,19.7,36.8
면류,비빔국수,226.7,1,0.8,1.9,0,0,1.7,520.9,87.3,9.5,19.4,58.7
면류,수제비,207.5,1.1,0.2,1.1,0,0,0.5,409.6,77.6,3.4,14.2,51.2
면류,스파게티(패스트푸드),250,0.5,0.5,0.3,0,0,0,225,38.1,2.5,12.6,45
면류,우동,213,0.6,1.1,0.2,0,0,0,292.9,48.4,3.5,14.2,50.7
면류,짜장면,325.5,0.9,0.6,1.6,0,0,1.5,419.4,66.6,11,12.2,40
면류,짬뽕,341,0.7,0.6,2.4,0,0,0.7,353.4,58.9,5.1,17.5,65.8
면류,쫄면,251,1.4,0.5,0.7,0,0,0.8,584,110,5.3,19.3,59.5
면류,칼국수,246.1,0.6,0.6,1.1,0,0,0.2,278.9,48.5,4.8,13.7,88.1
면류,컵라면(작은것),72,0.6,0,0,0,0,1.6,274.3,44.6,10.2,6.2,11.5
면류,콩국수,224.7,1,1.5,0.5,0,0,0,488.3,81.2,6.8,24.5,92.9
면류,군만두,265,0.7,2.2,0.7,0,0,1.9,508.6,46.2,23.7,26.7,140.2
면류,만두국,188.9,0.8,1.2,0.6,0,0,0.1,377.7,32.8,18.6,20.6,60.9
면류,떡국,198,1.1,0.7,0.2,0,0,0.2,432.2,80.2,5.5,13.4,23.8
국류,감자국,98,0.1,0.4,0.2,0,0,0,82.2,10.9,1.6,6.3,11
국류,김치국,67.5,0,0.1,0.9,0,0,0,21.9,2.9,0.6,2.7,88.1
국류,동태국,123.5,0,0.6,0.9,0,0,0,71.7,4.9,0.7,12.2,49.5
국류,떡국,198,1.1,0.7,0.2,0,0.3,0.2,432.2,80.2,5.5,13.4,23.8
국류,무국,109,0,0.5,1.5,0,0,0,71.6,6.1,3.3,6.5,70.6
국류,미역국,36,0,0.4,0.7,0,0,1.2,87,2.9,6.8,5.7,62.1
국류,북어국,67,0,1.2,0.1,0,0,0.7,132.6,1.1,5.7,18.7,95.3
국류,쇠고기국,81.3,0,0.5,2,0,0,0,79.6,6.9,2.7,8.2,18.6
국류,어묵국,125.5,0,1.2,1.2,0,0,0,112.1,15.3,1.8,9.5,116
국류,오징어국,115,0,0.8,0.7,0,0,0,82.3,4.2,2.1,12.7,55.2
국류,조개국,87.5,0,0.5,0.7,0,0,0.5,70,3.6,3.3,6.8,37.3
국류,콩나물국,62.5,0,0.1,1.3,0,0,0.5,42.7,2.5,2.8,3.9,62.2
국류,우거지국,84,0,0.2,0.5,0,0,0,61.6,5.8,2.2,5.4,42.8
국류,해물된장국,145.5,0,0.9,0.8,0,0,0,111.7,7.1,2.2,15.5,72.7
탕류,갈비탕,214.5,0.1,3.5,1,0,0,0,362.7,9,22.9,27.2,39.9
탕류,감자탕,155.7,0.1,1.4,1,0,0,0.1,195.5,12.8,10.9,12.2,25.4
탕류,곰탕,114,0.2,1.1,0.5,0,0,0,182.6,17.7,4.9,15.3,26.3
탕류,꽃게탕,144.5,0,0.7,1.2,0,0,0,81.3,6.9,0.9,12,112.6
탕류,내장탕,166.5,0,1.6,1.3,0,0,0,177,5.7,12.1,12.7,49.6
탕류,닭곰탕,114,0.1,1.1,0.6,0,0,0,136.6,6.6,6.4,12.6,18.2
탕류,보신탕,162.5,0,2.2,1.8,0,0,0,210.5,8.4,14.2,13.7,77.1
탕류,삼계탕,506,0.3,8.6,1.7,0,0,0,932.2,28,48,88.5,65.8
탕류,설렁탕,120.5,0.2,0.9,0.8,0,0,0,176.1,18.6,3.9,15.1,23.1
탕류,순대국,156,0.1,0.8,1.7,0,0,0,155.8,16.8,5,12.1,137.3
탕류,오리탕,131,0.3,1.5,1.6,0.3,0,0,241.7,27.2,6.8,17.1,26.4
탕류,육개장,233.1,0,1.4,2.5,0,0,1.5,234.1,10.7,13.5,19.3,63.5
탕류,추어탕,187,0,1,1.2,0,0,0.1,113.5,6.7,3.3,15.3,653.6
탕류,알탕,164,0,1.4,0.9,0,0,0,135.8,6.6,5.5,16.8,127.6
탕류,우럭매운탕,164.5,0,0.9,1.4,0,0.3,0,120.8,10.4,2.1,15.9,59.9
탕류,닭매운탕,144,0,1.1,1.3,0,0,0.5,187,13.6,9,13.7,30.1
탕류,돈육감자탕,162,0.2,0.8,1.3,0,0,0,178.4,22,6.5,9.1,19.8
찌개류,갈치찌개,150,0,1.5,0.8,0,0,0,161.4,8.7,6.9,16.7,80.1
찌개류,고등어찌개,156,0,1.6,1.3,0,0,0,178.5,10.8,7.9,16.3,45.5
찌개류,동태찌개,168,0,1,1.1,0,0,0,126.3,9.9,2.7,17.3,139
찌개류,참치김치찌개,121.7,0,0.6,1.5,0,0,0.5,67.5,5,1.3,10.4,36.9
찌개류,돼지고기찌개,205,0.1,2,1.4,0,0,0,242.5,13.3,14.3,16.5,109.9
찌개류,부대고기찌개,218,0.2,2.8,1.4,0,0,0.5,362.3,24.6,21.1,91.9,91.9
찌개류,된장찌개,127,0.1,0.4,1.1,0,0,0,99.7,11.7,2.7,143.1,143.1
찌개류,청국장찌개,151,0.1,1,1.1,0,0,0,118.3,8.9,4.5,132,132
찌개류,순두부찌개,232.1,0,2,1.1,0,0,0.2,203,7,12.7,99.4,99.4
찌개류,콩비지찌개,193.7,0,1.4,1.1,0,0,0,154.8,15.9,7.8,98.9,98.9
찜류,꼬막찜,121.7,0,0.8,0.6,0,0,0.7,126.7,11.7,3.4,111.7,111.7
찜류,동태찜,152,0,0.7,1.2,0,0,0.2,100.1,6,2.6,111.8,111.8
찜류,북어찜,56,0,1,0.5,0,0,0.7,141.7,11.2,3.3,93.6,93.6
찜류,조기찜,148,0,0.8,1.2,0,0,0.2,107.3,5.9,3.2,59.1,59.1
찜류,갈비찜,187,0,2.8,2.3,0,0,0.3,317.2,11.5,20.3,41.7,41.7
찜류,닭찜,157.6,0.1,1.1,2.1,0,0,1.2,207.5,18.8,8.6,23.3,23.3
찜류,깻잎찜,25.5,0,0.1,0.5,0,0,0.1,27.1,3.8,1.4,39.1,39.1
찜류,두부찜,83,0,0.8,0.2,0,0,0.2,81.3,1.9,5.5,78.1,78.1
구이류,갈치구이,72,0,1.3,0,0,0,0,104.3,0.1,5.3,13,33
구이류,고등어구이,72,0,1.6,0,0,0,0,128.1,0,7.3,14.1,19
구이류,꽁치구이,72,0,1.4,0,0,0,0,115.5,0.1,6.1,13.7,38.6
구이류,삼치구이,72,0,1.2,0,0,0.3,0,95.9,0,4.3,13.2,17.6
구이류,임연수구이,72,0,1.4,0,0,0,0,116.2,0,6.2,13.8,25.3
